[2026-06-13T03:08:44.106Z] GET http://localhost:8765/ko/notivault.html → 200 (5ms, 27886B)
[2026-06-13T03:08:44.115Z] GET https://cdn.tailwindcss.com/?plugins=forms,container-queries → pending (?ms, ?B)
[2026-06-13T03:08:44.115Z] GET https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@300;400;500;600;700&family=Noto+Sans+KR:wght@300;400;500;700;900&display=swap → 200 (162ms, 478465B)
[2026-06-13T03:08:44.115Z] GET https://fonts.googleapis.com/css2?family=Material+Symbols+Outlined:opsz,wght,FILL,GRAD@20..48,100..700,0..1,-50..200&display=swap → 200 (154ms, 653B)
[2026-06-13T03:08:44.115Z] GET http://localhost:8765/images/notivault/ic_launcher-playstore.png → 200 (4ms, 87046B)
[2026-06-13T03:08:44.115Z] GET http://localhost:8765/images/notivault/Screenshot_20260612_182307.png → 200 (4ms, 177111B)
[2026-06-13T03:08:44.546Z] GET https://cdn.tailwindcss.com/3.4.17?plugins=forms@0.5.10,container-queries@0.1.1 → 200 (423ms, 418973B)
[2026-06-13T03:08:45.169Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.116.woff2 → pending (?ms, ?B)
[2026-06-13T03:08:45.169Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.118.woff2 → 200 (146ms, 14664B)
[2026-06-13T03:08:45.169Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5CgmG0X7t.woff2 → pending (?ms, ?B)
[2026-06-13T03:08:45.169Z] GET https://fonts.gstatic.com/s/materialsymbolsoutlined/v347/kJEhBvYX7BgnkSrUwT8OhrdQw4oELdPIeeII9v6oFsI.woff2 → pending (?ms, ?B)
[2026-06-13T03:08:45.169Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4Cw.woff2 → 200 (178ms, 22288B)
[2026-06-13T03:08:45.169Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.119.woff2 → pending (?ms, ?B)
[2026-06-13T03:08:45.169Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.117.woff2 → pending (?ms, ?B)
[2026-06-13T03:08:45.170Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.115.woff2 → pending (?ms, ?B)
[2026-06-13T03:08:45.170Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.114.woff2 → pending (?ms, ?B)
[2026-06-13T03:08:45.170Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.110.woff2 → pending (?ms, ?B)
[2026-06-13T03:08:45.170Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.113.woff2 → pending (?ms, ?B)
[2026-06-13T03:08:45.170Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.111.woff2 → pending (?ms, ?B)
[2026-06-13T03:08:45.170Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.108.woff2 → pending (?ms, ?B)
[2026-06-13T03:08:45.170Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.112.woff2 → pending (?ms, ?B)
[2026-06-13T03:08:45.170Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.3.woff2 → pending (?ms, ?B)
[2026-06-13T03:08:45.170Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.109.woff2 → pending (?ms, ?B)
[2026-06-13T03:08:45.170Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.104.woff2 → pending (?ms, ?B)
[2026-06-13T03:08:45.173Z] GET http://localhost:8765/images/notivault/Screen_recording_20260612_182435.webm → 200 (14ms, ?B)
